編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,89162864,,,,1,,13986537,,,,,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-12-04,,03
2,2,11166999,正和鋼鐵股份有限公司,C製造業(其他金屬加工處理業),被撞,1,,A124517441,,正和鋼鐵股份有限公司,2268,桃園市龜山區頂湖路47號,桃園市政府勞動檢查處,2025,2025-11-10,是,06
3,3,13039056,葳森營造有限公司,F營造業(建築工程業),墜落、滾落,1,聯成億建設有限公司,80619960,屏東市舊街段三小段136、136-2、136-3、136-4、137、137-1、138地號等7筆土地住宅新建工程,屏東市中華路51號旁本工程之屋突第一層東側梁底模突出平台處,2280,屏東市中華路51號旁,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-11-06,是,03
4,4,無,陳鎮雄,F營造業(建物完工裝修工程業),墜落、滾落,1,陳盈利,無,採光罩更新工程,8樓陽台,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2025,2025-11-05,否,02
5,5,87209147,,,,1,,-,,,,,臺中市勞動檢查處,2025,2025-11-03,,07
6,6,-,大宗浪板工程行,F營造業(建築工程業),墜落、滾落,1,王長隆,-,王長隆鋼構資材室新建工程,臺中市大安區中山北路359巷5號旁,2272,臺中市大安區中山北路359巷5號旁,臺中市勞動檢查處,2025,2025-11-01,是,07
7,7,-,蘇正龍,F營造業(其他專門營造業),墜落、滾落,1,魏○文,-,承攬魏○文桃園市楊梅區○路○號民宅修繕工程（舊屋翻修結構補強工程）,桃園市楊梅區○路○號,2268,,桃園市政府勞動檢查處,2025,2025-10-30,否,06
8,8,24675665,成濟營造有限公司,F營造業(建築工程業),墜落、滾落,1,陳OO,無,陳OO住宅新建工程,高雄市楠梓區大學二十五路280號旁,2279,,高雄市政府勞工局勞動檢查處,2025,2025-10-21,否,09
9,9,70730281,,,,1,,-,,,,,臺中市勞動檢查處,2025,2025-10-21,,07
10,10,83772544,盛所建築營造有限公司,F營造業(建築工程業),墜落、滾落,1,駱彥良,-,駱文章工廠住宅拆除工程,臺中市太平區樹德八街80巷10號,2272,太平區樹德八街80巷10號,臺中市勞動檢查處,2025,2025-10-20,是,07
11,11,92446388,王威振（即聖鑫企業社）,F營造業(建物完工裝修工程業),墜落、滾落,1,,無,柳營區柳營段溫厝廍小段1692、1693及1694地號鋼構廠房屋頂修繕工程,臺南市柳營區柳營段溫厝廍小段1692地號之鋼構廠房屋頂,2278,臺南市柳營區柳營段溫厝廍小段1692地號,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-10-19,是,03
12,12,無,,,,1,,24338670,,,,,桃園市政府勞動檢查處,2025,2025-10-17,,06
13,13,56801904,新加坡商蝦皮娛樂電商有限公司台灣分公司,J資訊及通訊傳播業(資料處理、主機及網站代管服務業),衝撞,1,,無,,,2268,桃園市大園區建國路,桃園市政府勞動檢查處,2025,2025-10-12,是,06
14,14,97141006,亨欣工業股份有限公司,C製造業(金屬表面處理業),物體倒塌、崩塌,1,,無,鋼架熱浸鍍鋅處理作業,高雄市小港區永光街2-2號,2279,高雄市小港區永光街2-2號,高雄市政府勞工局勞動檢查處,2025,2025-10-07,是,09
15,15,72104905,國華防火材工業股份有限公司,C製造業(耐火材料製造業),墜落、滾落,1,,無,廠房屋頂修繕工程,,2278,臺南市學甲區信義路8號,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-10-02,是,03
16,16,-,吳○○,S其他服務業(通訊傳播設備維修業),墜落、滾落,1,林○○,-,監視器維修作業,,2272,,臺中市勞動檢查處,2025,2025-10-02,否,07
17,17,27957651,國華公寓大廈管理維護股份有限公司,N支援服務業(保全及偵探業),跌倒,1,哈佛世家公寓大廈管理委員會,無,受任管理維護業務契約,哈佛世家公寓大廈西側棟1樓出入口,2278,臺南市東區東寧路西段26號,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-09-28,是,03
18,18,60743847,鋒霈環境科技股份有限公司,C製造業(未分類其他化學製品製造業),物體飛落,1,,無,鋁酸鈉、冰晶石及其他等產品(含硫酸鋅)交付承攬人代工生產,鋒霈公司(彰化工廠)之脫水區,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2025,2025-09-26,否,02
19,19,82927339,匡進開發工程有限公司,F營造業(冷凍、空調及管道工程業),爆炸,0,聚合新能源股份有限公司,94193487,聚合新能源股份有限公司設備配管工程,工廠分流區2樓儲槽,2271,苗栗縣苗栗市南勢里坪頂東30號,勞動部職業安全衛生署中區職業安全衛生中心,2025,2025-09-22,是,02
20,20,25197450,,,,1,,-,,,,,臺中市勞動檢查處,2025,2025-09-22,,07
21,21,13054247,台彰纖維股份有限公司,C製造業(染整業),墜落、滾落,1,,無,,,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2025,2025-09-19,否,02
22,22,84234761,揚昇營造有限公司,F營造業(其他土木工程業),物體倒塌、崩塌,1,惠來產創股份有限公司,85117678,彰化縣花壇鄉惠來產業園區開發申請案水土保持計畫工程,33號工區東北角處,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2025,2025-09-19,否,02
23,23,54529388,長融陞企業有限公司,C製造業(金屬家具製造業),墜落、滾落,1,,-,屋頂修繕作業,嘉義縣水上鄉中山路2段936號,2277,嘉義縣水上鄉中山路2段936號,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-09-19,是,03
24,24,12916859,乾亨不銹鋼股份有限公司,C製造業(金屬表面處理業),墜落、滾落,1,,無,,乾亨不銹鋼股份有限公司,2268,桃園市八德區新興路113號,桃園市政府勞動檢查處,2025,2025-09-18,是,06
25,25,29078694,太丞股份有限公司,F營造業(冷凍、空調及管道工程業),被夾、被捲,1,,-,CT及砂濾保養作業,台灣積體電路製造股份有限公司十八B廠CUP棟4樓頂樓1號冷卻水塔風胴內部,2278,臺南市安定區蘇林里北園二路8號,南部科學園區管理局,2025,2025-09-11,是,13
26,26,24626216,弘鑫精密工業有限公司,C製造業(未分類其他金屬製品製造業),爆炸,1,,無,儲槽外觀更改製造銲接作業,弘鑫精密工業有限公司,2268,桃園市大園區五青路150巷48之1號,桃園市政府勞動檢查處,2025,2025-09-10,是,06
27,27,83549898,明暉綠能有限公司,D電力及燃氣供應業(電力供應業),被撞,1,無,無,C53、F08、F07樑排水溝局部樓版治漏工程,桃園市蘆竹區三德街42號,2268,蘆竹區三德街42號,桃園市政府勞動檢查處,2025,2025-09-09,是,06
28,28,-,江○○,F營造業(建物完工裝修工程業),墜落、滾落,1,林○○,-,民宅之室內樓梯、牆面保護工程,民宅,2272,,臺中市勞動檢查處,2025,2025-09-09,否,07
29,29,無,張OO,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,食全食品有限公司,80515120,,新北市中和區建八路122號4樓,2267,新北市中和區建八路122號4樓,新北市政府勞動檢查處,2025,2025-09-05,是,05
30,30,無,劉OO,F營造業(其他專門營造業),墜落、滾落,1,匯昇汽車股份有限公司,無,鐵皮屋頂更換工程,臺北市中山區民族東路97號,2266,,臺北市勞動檢查處,2025,2025-09-04,否,04
31,31,932343440,泰正國際貿易行,H運輸及倉儲業(汽車貨運業),墜落、滾落,1,泰正國際貿易行,93234340,,高雄市前鎮區新生路137號,2279,高雄市前鎮區新生路137號,高雄市政府勞工局勞動檢查處,2025,2025-09-04,是,09
32,32,54253972,富樣營造有限公司(統編:28608344),F營造業(其他專門營造業),與高溫、低溫之接觸,1,空軍第七戰術戰鬥機聯隊,98634605,「阻絕圍籬及警監系統新建工程」,,2281,,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-09-02,是,03
33,33,90604369,日商日揮控股股份有限公司台灣分公司,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,台灣中油股份有限公司液化天然氣工程處,07912663,台中廠三期氣化設施及整體管線統包工程,主控大樓外牆施工架,2272,臺中市梧棲區南堤路88號,勞動部職業安全衛生署中區職業安全衛生中心,2025,2025-09-01,是,02
34,34,72845083,張幼貞(即鉑懷土木包工業),F營造業(整地、基礎及結構工程業),物體倒塌、崩塌,1,臺東縣太麻里鄉公所,93501205,114年度太麻里鄉南區災害搶修搶險工開口契約,太麻里鄉北里村森川南線產業道路紫竹禪寺牌樓前,2281,-,勞動部職業安全衛生署南區職業安全衛生中心,2025,2025-08-27,是,03
35,35,-,,,,1,,42003113,,,,,高雄市政府勞工局勞動檢查處,2025,2025-08-27,,09
36,36,無,陳OO,F營造業(其他土木工程業),物體倒塌、崩塌,1,黃OO,無,三民區察哈爾一街40號透天翻修工程,三民區察哈爾一街40號,2279,,高雄市政府勞工局勞動檢查處,2025,2025-08-25,否,09
