編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
1,1,86800136,逢泰企業股份有限公司,G批發及零售業(綜合商品批發業),墜落、滾落,1,,NA,,二、三倉之棧板及物流籃放置位置,2268,桃園市,桃園市政府勞動檢查處,2023,2023-12-31,是,06
2,2,66419982,日鼎綠能股份有限公司,F營造業(機電、電信及電路設備安裝業),墜落、滾落,1,中租電力科技股份有限公司,43941328,陸軍裝甲兵訓練指揮部屋頂型太陽光電系統工程,學生總隊部乙棟,2270,新竹縣湖口鄉八德路三段11巷12號,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-12-28,是,01
3,3,25191462,蘇OO（自營作業者）,G批發及零售業(化學原材料及其製品批發業),火災,1,,00000000,,作業廠房,2268,桃園市龜山區,桃園市政府勞動檢查處,2023,2023-12-26,是,06
4,4,89990027,正富營造有限公司,F營造業(建築工程業),墜落、滾落,1,柳屋建設開發股份有限公司,86790209,新官田段18戶住宅新建工程,臺南市官田區本工程之A1戶南側外牆施工架,2278,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-12-25,否,03
5,5,69706657,宏華營造股份有限公司,F營造業(其他土木工程業),物體倒塌、崩塌,1,國防部軍備局工程營產中心,01026014,「N-WH」計畫Ⅱ-B西側碼頭工程,「N-WH」計畫Ⅱ-B西側碼頭工程,2279,高雄市楠梓區楠海路與藍田路口,高雄市政府勞工局勞動檢查處,2023,2023-12-25,是,09
6,6,75963490,壹山營造工程股份有限公司,F營造業(建築工程業),物體飛落,1,臺灣港務股份有限公司臺中港務分公司,56505024,臺中港37、38號碼頭新建工程,臺中港36號碼頭南側之「臺中港37、38號碼頭新建工程」工地,2272,,臺中市勞動檢查處,2023,2023-12-19,否,07
7,7,47380071,顏OO,F營造業(建築工程業),墜落、滾落,1,謝OO,N102991211,謝OO農舍新建工程,外牆施工架,2273,鹿港鎮永安段873地號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-12-16,是,02
8,8,45098345,世炘營造股份有限公司,F營造業(建築工程業),被夾、被捲,1,新北市蘆洲區鷺江國民小學,無,111年度改善無障礙校園環境計畫-無障礙電梯新設工程,升降機,2267,,新北市政府勞動檢查處,2023,2023-12-16,否,05
9,9,T121474892,李OO,F營造業(其他專門營造業),墜落、滾落,1,羅OO,T121327316,羅OO住家頂樓增設鋼架工程,本工程屋頂鋼梁處,2280,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-12-14,否,03
10,10,11016900,嘉頡營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,昌田建設有限公司,28872821,昌田建設中和橋和段住宅拆除工程（112中拆字第107號）,外牆竹製施工架,2267,中和區景平路717號,新北市政府勞動檢查處,2023,2023-12-14,是,05
